img,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
/games/boxart/full_virtua-tennis-4_558AmericaFront.jpg,Virtua Tennis 4,PS3,Sports,Sega,Sega-AM2,6.4,0.45,0.09,0.03,0.24,0.08,2011-05-10,
/games/boxart/1028830ccc.jpg,Blood Omen: Legacy of Kain,PS,Role-Playing,Crystal Dynamics,Silicon Knights,7.8,0.44,0.25,,0.17,0.03,1996-11-14,
/games/boxart/full_5168648AmericaFrontccc.jpg,Eternal Sonata,PS3,Role-Playing,Namco Bandai,Tri-Crescendo,8.3,0.44,0.19,0.07,0.12,0.05,2008-10-21,
/games/boxart/full_hyperdimension-neptunia_903AmericaFront.jpg,Hyperdimension Neptunia,PS3,Role-Playing,NIS America,Compile Heart,5.3,0.44,0.22,0.07,0.1,0.04,2011-02-15,
/games/boxart/full_need-for-speed-shift-2-unleashed_555AmericaFront.jpg,Need for Speed: Shift 2 Unleashed,X360,Racing,Electronic Arts,Slightly Mad Studios,8.5,0.44,0.18,,0.21,0.05,2011-03-29,
/games/boxart/4338932ccc.jpg,The Darkness,X360,Shooter,2K Games,Starbreeze,8.3,0.44,0.36,0.01,0.04,0.03,2007-06-25,
/games/boxart/full_7699023PALFrontccc.jpg,Resistance: Burning Skies,PSV,Shooter,Sony Computer Entertainment,Nihilistic Software,4.8,0.44,0.18,0.02,0.16,0.08,2012-05-29,2018-01-03
/games/boxart/full_2292325AmericaFrontccc.jpg,Battlefield 2: Modern Combat,PS2,Shooter,Electronic Arts,Digital Illusions,7.6,0.44,0.37,,0.01,0.06,2005-10-24,
/games/boxart/full_6575111AmericaFrontccc.jpg,Crash: Mind Over Mutant,Wii,Platform,Activision,Radical Entertainment,7.5,0.44,0.35,,0.06,0.03,2008-10-07,
/games/boxart/full_shin-megami-tensei-devil-survivor-overclocked_117AmericaFront.jpg,Shin Megami Tensei: Devil Survivor Overclocked,3DS,Role-Playing,Atlus,Career Soft,7.6,0.44,0.34,0.06,0.01,0.04,2011-08-23,2018-01-14
/games/boxart/1896114ccc.jpg,X-Men Legends II: Rise of Apocalypse,XB,Role-Playing,Activision,Raven Software,8.3,0.44,0.3,,0.12,0.02,2005-09-20,
/games/boxart/full_2828397AmericaFrontccc.jpg,SingStar Queen,PS3,Misc,Sony Computer Entertainment,SCEE London Studio,6.8,0.44,0.11,,0.25,0.07,2009-08-04,
/games/boxart/full_samurai-warriors-3_6AmericaFront.jpg,Samurai Warriors 3,Wii,Action,Nintendo,Omega Force,5.1,0.44,0.09,0.32,0.02,0.01,2010-09-27,
/games/boxart/full_454288AmericaFrontccc.jpg,Battlebots: Design & Destroy,GBA,Action,Majesco,Cave Barn,4.0,0.44,0.31,,0.12,0.01,2003-08-31,
/games/boxart/full_naughty-bear_7AmericaFront.jpg,Naughty Bear,PS3,Action,505 Games,Artificial Mind and Movement,4.5,0.44,0.18,,0.18,0.07,2010-06-29,
/games/boxart/full_8207815AmericaFrontccc.jpg,Hey! Pikmin,3DS,Platform,Nintendo,Arzest,6.8,0.44,0.17,0.17,0.08,0.03,2017-07-28,2018-02-03
/games/boxart/3356646ccc.jpg,Major League Baseball 2K6,PS2,Sports,2K Sports,Kush Games,7.3,0.44,0.37,,0.01,0.06,2006-04-03,
/games/boxart/full_5953684AmericaFrontccc.jpg,G-Force,Wii,Action,Disney Interactive Studios,Eurocom Entertainment Software,7.5,0.44,0.19,,0.2,0.05,2009-07-21,
/games/boxart/7393129ccc.jpg,Wario World,GC,Platform,Nintendo,"Treasure Co., Ltd.",7.5,0.44,0.34,,0.09,0.01,2003-06-24,
/games/boxart/full_8812178AmericaFrontccc.jpg,Yu-Gi-Oh! 5D's Tag Force 4,PSP,Strategy,Konami,Konami,7.0,0.44,0.19,0.12,0.07,0.05,2009-11-17,
/games/boxart/full_6057600AmericaFrontccc.jpg,Story of Seasons,3DS,Misc,Xseed Games,Marvelous,7.7,0.44,,0.28,0.15,0.01,2015-03-31,2017-12-30
/games/boxart/full_tetris-axis_485AmericaFront.jpg,Tetris Axis,3DS,Puzzle,Nintendo,Hudson Soft,7.8,0.44,0.2,0.06,0.14,0.03,2011-10-02,
/games/boxart/full_9525931AmericaFrontccc.jpg,LEGO DC Super-Villains,NS,Action-Adventure,Warner Bros. Interactive Entertainment,Traveller's Tales,7.8,0.44,0.28,,0.12,0.04,2018-10-16,2018-06-04
/games/boxart/full_madden-nfl-12_503AmericaFront.jpg,Madden NFL 12,Wii,Sports,EA Sports,EA Tiburon,7.0,0.44,0.41,,,0.03,2011-08-30,
/games/boxart/3898358ccc.jpg,LEGO Star Wars II: The Original Trilogy,XB,Action,LucasArts,Traveller's Tales,8.3,0.44,0.33,,0.1,0.02,2006-09-12,
/games/boxart/9796731ccc.jpg,Viking: Battle for Asgard,X360,Action,Sega,The Creative Assembly,6.2,0.44,0.16,,0.23,0.05,2008-03-25,
/games/boxart/full_9938212AmericaFrontccc.jpg,2014 FIFA World Cup Brazil,X360,Sports,EA Sports,EA Canada,7.3,0.44,0.15,0.0,0.25,0.03,2014-04-15,2018-03-22
/games/boxart/6244495ccc.jpg,Chocobo Racing,PS,Racing,Square EA,SquareSoft,5.4,0.44,0.07,0.3,0.05,0.03,1999-07-31,
/games/boxart/full_5796453AmericaFrontccc.jpg,Star Fox: Zero,WiiU,Shooter,Nintendo,Nintendo EPD,6.7,0.44,0.2,0.09,0.12,0.03,2016-04-22,2018-11-18
/games/boxart/full_child-of-eden_713AmericaFront.jpg,Child of Eden,X360,Shooter,Ubisoft,Q Entertainment,8.3,0.44,0.28,,0.12,0.04,2011-06-14,
/games/boxart/full_1832878AmericaFrontccc.jpg,NBA 2K18,NS,Sports,2K Sports,Visual Concepts,7.5,0.43,0.3,0.03,0.06,0.04,2017-09-19,2018-01-05
/games/boxart/4322710ccc.jpg,Madden NFL 2003,GC,Sports,EA Sports,EA Tiburon,9.1,0.43,0.33,,0.09,0.01,2002-08-12,
/games/boxart/full_929846AmericaFrontccc.jpg,Rocksmith 2014,XOne,Music,Ubisoft,Ubisoft San Francisco,9.0,0.43,0.31,,0.08,0.04,2016-10-04,2018-03-08
